ISO3,GDP.PPP.2011USD,GDP.currUSD,GDP.currLCU,Currency.Name,Currency.Code
KEN,3076.844817916096,1710.5100969940536,173272.27811136184,Kenyan Shilling,KES
KGZ,3446.9939404155784,1281.3636607854505,88209.45881756864,Som,KGS
KHM,3869.4891806297237,1510.3248705763974,6125877.6750578685,Riel,KHR
KIR,2035.449727599979,1625.2861000151222,2175.2829162602397,Australian Dollar,AUD
KNA,26804.0862085403,19275.41851265655,52043.62998417269,East Caribbean Dollar,XCD
KOR,36776.51928349191,31362.751472940006,34516511.35418017,Won,KRW
KWT,64683.72998224473,33994.40656678305,10266.31078316848,Kuwaiti Dinar,KWD
LAC,13891.679528975523,8546.019021763148,NA,NA,NA
LAO,6601.33234452127,2542.486528179197,21583778.080231316,Kip,LAK
LBN,11607.175820104496,8269.787675519232,12466704.920845242,Lebanese Pound,LBP
LBR,1161.1779163489477,677.3221785453636,677.3221785453636,Liberian Dollar,LRD
LBY,18424.53359333494,7241.704481130245,9884.926616742783,Libyan Dinar,LYD
LCA,12317.269576207553,10566.049745846214,28528.33431378478,East Caribbean Dollar,XCD
LCN,14428.11967534405,9044.215878845658,NA,NA,NA
LDC,2655.9490850292777,1054.3942236389232,NA,NA,NA
LIC,2024.6590707754967,833.8788964659047,NA,NA,NA
LKA,11955.499709748878,4102.481350144672,666817.318652515,Sri Lanka Rupee,LKR
LMC,6793.286245181055,2217.123138666369,NA,NA,NA
LMY,10450.651982163548,4971.1576175197215,NA,NA,NA
LSO,2856.700426284687,1299.1531259873295,17215.680353351545,Loti,LSL
LSO,2856.700426284687,1299.1531259873295,17215.680353351545,Rand,ZAR
LTE,17011.001333284643,9692.652768905047,NA,NA,NA
LTU,31177.578046473223,19153.408986065082,16226.507053331148,Euro,EUR
LUX,96792.59959486654,116639.88804711003,98815.72348155754,Euro,EUR
LVA,26219.30646986278,17860.61719802138,15131.271469814828,Euro,EUR
MAC,109932.4474335585,87208.53591264301,703990.9061548107,Pataca,MOP
MDA,6452.299737737821,3227.312191604296,54225.62217455455,Moldovan Leu,MDL
MDG,1678.2135292214139,527.5012850412818,1758733.4361851912,Malagasy Ariary,MGA
MDV,13582.903468725337,10330.615614093982,158996.43879339765,Rufiyaa,MVR
MEA,18345.816365489874,8042.8494647245025,NA,NA,NA
MEX,18133.70146832367,9673.443673606193,186158.65208797963,Mexican Peso,MXN
MEX,18133.70146832367,9673.443673606193,186158.65208797963,Mexican Unidad de Inversion (UDI),MXV
MHL,3539.567393682794,3788.163593720576,3788.163593720576,US Dollar,USD
MIC,11505.124672572218,5485.484764619472,NA,NA,NA
MKD,13483.453464617818,6083.718948321484,317004.9516120824,Denar,MKD
MLI,2055.622912303983,899.6599080966151,499957.0248756532,CFA Franc BCEAO,XOF
